File Name: not saved
Channel 1: 'IndexForce', 77660 values, engineering units: V, no filters.
Channel 2: 'ThumbForce', 77660 values, engineering units: V, no filters.
Channel 3: 'dial', 77660 values, engineering units: V, no filters.
Channel 4: 'FCR_EMG', 77660 values, engineering units: V, no filters.
Channel 5: 'FCU_EMG', 77660 values, engineering units: V, no filters.
Channel 6: 'ECR_EMG', 77660 values, engineering units: V, no filters.
Channel 7: 'ECU_EMG', 77660 values, engineering units: V, no filters.

-0.0068	0.4815	0.081	-0.3705	0.2962	-0.2693	0.0765
-0.0346	0.4312	-0.0405	-0.225	0.1732	0.1642	0.1065
-0.0608	0.1012	-0.0683	-0.042	0.207	0.3345	0.2422
-0.0848	-0.0128	-0.1245	-0.0653	0.2557	0.5205	0.3892
-0.078	-0.0773	-0.1328	-0.0338	0.3675	0.6757	0.3757
-0.0645	-0.0038	-0.0315	0.027	0.4815	0.7327	0.3037
-0.0375	0.1065	0.0855	0.1447	0.522	0.7125	0.2512
0.0112	0.2032	0.1027	0.3202	0.5752	0.7012	0.1785
-0.015	0.2077	0.1312	0.4072	0.6375	0.7365	0.0855
-0.0533	-0.0878	0.099	0.447	0.675	0.7065	0.0352
-0.0495	-0.225	0.033	0.366	0.5295	0.5722	-0.0653
-0.0863	-0.2243	-0.0105	0.285	0.2962	0.312	-0.2273
-0.081	-0.2363	-0.0683	0.2602	0.1522	0.3067	-0.303
-0.0638	-0.198	-0.0623	0.264	-0.1328	0.1995	-0.3518
-0.063	-0.228	0.006	0.2257	-0.468	-0.0698	-0.336
-0.033	-0.24	0.0067	0.225	-0.5715	-0.1403	-0.2655
-0.0683	-0.2288	0.003	0.3	-0.543	-0.1523	-0.2273
-0.0113	-0.1095	0.129	0.3967	-0.4358	-0.2033	-0.165
0.0757	0.0945	0.2205	0.4005	-0.315	-0.2978	-0.0098
0.0405	0.153	0.231	0.318	-0.318	-0.3578	0.1582
-0.0008	-0.003	0.1785	0.0337	-0.2123	-0.252	0.1267
0.0232	0.0315	0.2535	-0.5595	0.0075	-0.1095	0.0112
0.054	0.2595	0.3787	-0.885	0.012	-0.075	-0.0323
0.0457	0.2505	0.4357	-0.6075	-0.1441	-0.1613	-0.0465
0.0517	0.0817	0.471	-0.198	-0.2183	-0.3	-0.1103
0.066	-0.0203	0.4957	-0.2018	-0.1583	-0.243	-0.156
0.0607	0.2002	0.525	-0.1756	-0.093	-0.3308	-0.1193
0.042	0.342	0.5385	0.1177	-0.1485	-0.45	-0.0833
0.066	0.3262	0.441	0.3307	-0.312	-0.2821	-0.03
0.0682	0.3082	0.174	0.504	-0.0908	-0.1268	-0.0225
0.03	0.1252	0.0217	0.2107	0.144	-0.0128	-0.0188
0.018	-0.039	-0.0436	0.0615	0.2752	0.18	0.0067
0.0022	-0.165	-0.1883	0.4365	0.5992	0.4132	0.0322
0.0045	-0.1298	-0.2873	0.7732	0.6615	0.5332	0.1147
0.012	-0.0863	-0.2828	0.8167	0.6982	0.6202	0.1687
0.006	-0.2595	-0.219	0.5572	0.6847	0.7125	0.1687
0.003	-0.255	-0.078	-0.0068	0.5272	0.627	0.1822
0.0412	0.1425	0.039	-0.93	0.0472	0.2962	0.21
0.0952	0.4537	0.2452	-1.0185	-0.4515	-0.0953	0.258
0.1545	0.42	0.4957	-0.513	-0.4695	-0.3735	0.279
0.1717	0.5827	0.5542	-0.4883	-0.5243	-0.5153	0.1485
0.1312	0.3532	0.4717	-0.1463	-0.4868	-0.3998	0.0097
0.0967	0.0742	0.3795	0.105	-0.2633	-0.1808	-0.0706
0.0705	0.1057	0.3067	-0.0023	-0.1028	-0.135	-0.1118
0.021	-0.1208	0.1185	0.1537	-0.03	-0.219	-0.1103
0.0075	-0.0645	-0.006	0.1657	0.0735	-0.198	-0.0856
-0.0091	-0.0923	-0.081	0.1597	0.213	0.0255	0.003
0.0112	-0.1118	-0.0848	0.234	0.3817	0.1477	0.156
0.0225	-0.0983	-0.1335	0.231	0.6847	0.1552	0.2677
-0.0308	-0.1365	-0.2445	0.1792	0.8422	0.258	0.2212
-0.0098	-0.0975	-0.231	0.3135	0.705	0.3765	0.1755
-0.0443	-0.2836	-0.2078	0.3787	0.393	0.468	0.1537
-0.0533	-0.3345	-0.147	0.261	0.12	0.4792	0.1102
-0.0383	-0.2468	-0.0518	0.1125	-0.0668	0.4432	0.1417
-0.0008	0.1807	0.0412	-0.207	-0.2625	0.2745	0.1245
0.084	0.5632	0.198	-0.3578	-0.4058	0.084	-0.0158
0.042	0.396	0.3495	-0.6075	-0.4575	-0.1508	-0.132
0.0487	0.1365	0.5235	-0.8363	-0.5731	-0.4785	-0.267
0.054	0.1597	0.6142	-0.6443	-0.8018	-0.4508	-0.3383
0.0862	0.2475	0.5677	-0.6023	-0.975	-0.4051	-0.255
0.1005	0.156	0.4395	-0.5168	-0.852	-0.4628	-0.1726
0.048	0.012	0.2055	-0.0878	-0.486	-0.2843	-0.117
0.0187	-0.2393	-0.039	0.285	-0.135	-0.1155	-0.1223
-0.0721	-0.3045	-0.2063	0.4432	0.1717	0.0675	-0.1283
-0.063	-0.1756	-0.1043	0.4702	0.3525	0.0472	-0.177
-0.0555	0.021	-0.0113	0.3105	0.363	-0.1628	-0.2468
-0.0375	0.2985	0.1065	0.1005	0.3097	-0.309	-0.2325
0.003	0.3412	0.1897	0.018	0.2872	-0.2738	-0.1703
-0.0383	0.2197	0.1477	0.0547	0.2947	-0.0675	-0.0323
-0.0361	0.1005	0.0577	0.075	0.2182	0.0855	0.1192
0.006	0.096	-0.0105	0.0225	0.153	0.2377	0.18
0.0772	0.24	0.243	-0.0023	0.2182	0.3495	0.1695
0.0945	0.3052	0.2775	0.1095	0.381	0.51	0.171
0.0585	0.1665	0.1312	0.15	0.54	0.5872	0.174
0.0442	0.0922	0.1275	0.1492	0.5505	0.5272	0.2445
0.072	0.063	0.1485	0.261	0.384	0.5542	0.4102
0.0397	-0.0773	0.1365	0.3442	0.309	0.5025	0.3645
-0.0015	-0.2888	0.0255	0.3352	0.2692	0.351	0.1185
-0.0128	-0.4013	-0.0195	0.3315	-0.153	0.075	-0.045
-0.0195	-0.3773	0.0367	0.2782	-0.531	-0.213	-0.1426
0.0277	-0.2895	0.1687	0.1792	-0.4785	-0.3255	-0.1403
0.0502	-0.1058	0.1965	0.1987	-0.4725	-0.4508	-0.09
0.0727	0.0615	0.1042	0.3945	-0.4073	-0.5168	-0.0308
0.0577	0.1297	0.0562	0.5302	-0.1463	-0.2895	0.066
-0.0038	0.1065	0.0315	0.2625	-0.0008	-0.0945	0.1245
-0.0443	0.0345	0.045	-0.1696	0.1372	0.0922	0.0105
-0.1043	-0.0938	0.2025	-0.7463	0.3007	0.3127	-0.0645
-0.078	0.012	0.3907	-1.323	0.159	0.0172	0.123
0.0037	0.372	0.5505	-1.4468	-0.1995	-0.474	0.4147
0.0397	0.6945	0.5677	-1.3103	-0.1853	-0.7725	0.6502
0.0075	0.945	0.5152	-0.8101	-0.111	-0.549	0.564
-0.0361	0.4627	0.4942	-0.0023	-0.3773	-0.3008	0.2437
-0.0383	0.0465	0.4425	0.5677	-0.4335	-0.4155	-0.084
-0.0683	0.0622	0.393	0.9742	-0.3668	-0.2791	-0.27
-0.1065	-0.234	0.2062	0.8287	-0.2655	-0.2033	-0.267
-0.1381	-0.2761	0.0667	0.4477	-0.003	-0.0135	-0.4163
-0.1696	-0.2821	-0.0405	0.1357	0.1237	0.06	-0.5783
-0.1418	-0.1245	-0.033	-0.2693	0.171	-0.021	-0.5701
-0.1163	0.0832	-0.0083	-0.3533	0.3015	0.2092	-0.5595
-0.0495	0.1312	-0.0555	-0.3675	0.4815	0.3262	-0.4605
-0.015	0.2835	-0.0615	-0.0225	0.4267	0.4035	-0.2791
-0.099	0.0817	-0.135	0.309	0.2827	0.489	-0.1335
-0.111	-0.123	-0.162	0.3337	0.1312	0.5332	-0.0233
